S.No,Main Item Group,Item Code,Item,Item Type,Sub Group,RM Item Code,RM Item Name,Req Qty
1,Condensor Assy,3HBH-19A742-BA,HEADER ASSY-COND TANK-(A) (OLD MXI),,,,,1
1,Condensor Assy,3HBH-19A742-BA,HEADER ASSY-COND TANK-(A) (OLD MXI),Process Item,Cond Sub Assembly,3HBH-19A742-SFG-BA,STACKING SUB ASSY TANK A (OLD MXI),1
1,Condensor Assy,3HBH-19A742-BA,HEADER ASSY-COND TANK-(A) (OLD MXI),Purchase Item,Condensor Assy,XU3H-19D718-BA,TANK A (OLD MXI),1
1,Condensor Assy,3HBH-19A742-BA,HEADER ASSY-COND TANK-(A) (OLD MXI),Purchase Item,Condensor Assy,XU3H-19157-BB,BRKT-A (OLD MXI),1
1,Condensor Assy,3HBH-19A742-BA,HEADER ASSY-COND TANK-(A) (OLD MXI),Purchase Item,Condensor Assy,F827-QQVAA-08,BAFFLE  (EMXI),1
1,Condensor Assy,3HBH-19A742-BA,HEADER ASSY-COND TANK-(A) (OLD MXI),Purchase Item,Condensor Assy,VP3M5H-50684-AA,RIVET (GMI),2
1,Condensor Assy,3HBH-19A742-BA,HEADER ASSY-COND TANK-(A) (OLD MXI),Process Item,Press Part,XU3H-19735-AA,BRKT-D (OLD MXI),1
1,Condensor Assy,3HBH-19A742-BA,HEADER ASSY-COND TANK-(A) (OLD MXI),Raw Material,Raw Material,RSAE1T6SPRWON075,Extrusion Bar (5257),0.01395
2,Condensor Assy,3HBH-19E988-BA,HEADER ASSY-COND TANK (OLD MXI),,,,,1
2,Condensor Assy,3HBH-19E988-BA,HEADER ASSY-COND TANK (OLD MXI),Process Item,Cond Sub Assembly,3HBH-19E988-SFG-BA,STACKING SUB ASSY TANK (OLD MXI),1
2,Condensor Assy,3HBH-19E988-BA,HEADER ASSY-COND TANK (OLD MXI),Purchase Item,EVAP/AC-Tubing,RKP00003,KNURL Pin 3mm,1
2,Condensor Assy,3HBH-19E988-BA,HEADER ASSY-COND TANK (OLD MXI),Purchase Item,EVAP/AC-Tubing,SL-040-01,KNURL Pin 4mm,1
2,Condensor Assy,3HBH-19E988-BA,HEADER ASSY-COND TANK (OLD MXI),Purchase Item,Condensor Assy,XU3H-19157-AB,BRKT-B (OLD MXI),1
2,Condensor Assy,3HBH-19E988-BA,HEADER ASSY-COND TANK (OLD MXI),Purchase Item,Condensor Assy,F827-QQVAA-08,BAFFLE  (EMXI),2
2,Condensor Assy,3HBH-19E988-BA,HEADER ASSY-COND TANK (OLD MXI),Purchase Item,Condensor Assy,VP3M5H-50684-AA,RIVET (GMI),1
2,Condensor Assy,3HBH-19E988-BA,HEADER ASSY-COND TANK (OLD MXI),Purchase Item,Condensor Assy,XU3H-19D718-CB,TANK (OLD MXI),1
2,Condensor Assy,3HBH-19E988-BA,HEADER ASSY-COND TANK (OLD MXI),Process Item,Machining Cond,XU3H-19E777-AA,COND FLANGE INLET (OLD MXI),1
2,Condensor Assy,3HBH-19E988-BA,HEADER ASSY-COND TANK (OLD MXI),Process Item,Cut Piece,XU3H-19E777-AA/C,COND FLANGE INLET (OLD MXI),1
2,Condensor Assy,3HBH-19E988-BA,HEADER ASSY-COND TANK (OLD MXI),Raw Material,Raw Material,RSAE5T5BPRWON067,Extrusion Bar (5264),0.05326
2,Condensor Assy,3HBH-19E988-BA,HEADER ASSY-COND TANK (OLD MXI),Process Item,Machining Cond,XU3H-19E777-BA,COND FLANGE OUTLET (OLD MXI),1
2,Condensor Assy,3HBH-19E988-BA,HEADER ASSY-COND TANK (OLD MXI),Process Item,Cut Piece,XU3H-19E777-BA/C,COND FLANGE OUTLET (OLD MXI),1
2,Condensor Assy,3HBH-19E988-BA,HEADER ASSY-COND TANK (OLD MXI),Raw Material,Raw Material,RSAE5T5BPRWON067,Extrusion Bar (5264),0.04537
2,Condensor Assy,3HBH-19E988-BA,HEADER ASSY-COND TANK (OLD MXI),Purchase Item,Sub Assembly,F281-QQVAA-02,Bush Inlet (HA & A-ENTRY & GS & EMXI),1
